# Batch 7 Formatted Database Rows
# Session 14 - 25 exercises (Lines 201-225)
# Ready for integration into comprehensive_exercise_database_v2.md

Split Squat | Gluteus maximus, Quadriceps femoris (rectus femoris, vastus lateralis, vastus medialis, vastus intermedius) | Hamstrings (biceps femoris, semitendinosus, semimembranosus), gluteus medius, erector spinae, gastrocnemius, soleus | Compound | Bodyweight, dumbbells, barbell, kettlebells | Intermediate | Lower | Push | Bodyweight | 1. Stand with feet hip-width apart, then step one foot forward approximately 2-3 feet (60-90cm) to create a staggered stance 2. Position your back heel elevated off the ground with weight on the ball of your foot; front foot should be flat on the floor 3. Engage your core muscles and maintain an upright torso with shoulders back and chest proud 4. Lower your body by bending both knees simultaneously until your front thigh is parallel to the ground and your back knee hovers 1-2 inches (2.5-5cm) above the floor 5. Keep your front knee aligned over your ankle without allowing it to travel past your toes 6. Push through your front heel to return to the starting position, fully extending both legs 7. Complete all repetitions on one leg before switching to the other side |  | Mackey, E. R., & Riemann, B. L. (2021). Biomechanical Differences Between the Bulgarian Split-Squat and Back Squat. International Journal of Exercise Science, 14(1), 533-543. https://pmc.ncbi.nlm.nih.gov/articles/PMC8136570/; Neto, W. K., et al. (2024). Targeted muscle activation in Bulgarian split squat variations: effects of trunk position and suspension-based execution. Frontiers in Physiology, 15, 1458766. https://pmc.ncbi.nlm.nih.gov/articles/PMC12382192/; Speirs, D. E., et al. (2016). Unilateral vs. Bilateral Squat Training for Strength, Sprints, and Agility in Academy Rugby Players. Journal of Strength and Conditioning Research, 30(2), 386-392. https://digitalcommons.wku.edu/cgi/viewcontent.cgi?article=1607&context=ijes; Andersen, V., et al. (2017). Towards evidence based strength training: a comparison of muscle forces during deadlifts, goodmornings and split squats. BMC Sports Science, Medicine and Rehabilitation, 9, 13. https://bmcsportsscimedrehabil.biomedcentral.com/articles/10.1186/s13102-017-0077-x | [TBD] | [TBD] | [TBD] | 
Arnold Dumbbell Press | Deltoideus (anterior, lateral, posterior heads) | Triceps brachii (lateral, long, medial heads), trapezius (upper fibers), serratus anterior, rotator cuff muscles (supraspinatus, infraspinatus, subscapularis, teres minor) | Compound | Dumbbells, adjustable bench | Intermediate to Advanced | Upper | Push | Free Weight | 1. Sit on adjustable bench with back support set at 75-80° angle, feet flat on floor hip-width apart for stable base 2. Hold dumbbells at shoulder height with palms facing your body, elbows bent at 90°, hands positioned in front of shoulders 3. Engage core muscles by drawing navel toward spine, maintain neutral spine with slight arch in lower back 4. Press dumbbells overhead while simultaneously rotating wrists outward, ending with palms facing forward at full extension 5. Pause briefly at top with arms fully extended but not locked, dumbbells positioned directly over shoulders 6. Reverse the motion by rotating palms back toward body while lowering dumbbells under control to starting position 7. Complete 8-12 repetitions, focusing on smooth rotation and controlled tempo (2-second lift, 1-second pause, 2-second lower) |  | Bagchi, A., Raizada, S., & Bagchi, D. (2018). Comparison among the EMG Activity of the Anterior Deltoid and Medial Deltoid During Two Variations of Dumbbell Shoulder Press Exercise. International Journal of Physiology, Nutrition and Physical Education, 3(1), 2456-0057. https://www.researchgate.net/publication/322132613; Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Medical News Today. (2025). Arnold shoulder press: Benefits, risks, and how to. https://www.medicalnewstoday.com/articles/arnold-press | [TBD] | [TBD] | [TBD] | 
Barbell Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper and middle fibers), serratus anterior, rotator cuff (supraspinatus, infraspinatus, subscapularis, teres minor), core muscles (rectus abdominis, external obliques, erector spinae) | Compound | Barbell, squat rack or power rack | Intermediate | Upper | Push | Free Weight | 1. Stand with feet shoulder-width apart, barbell racked at upper chest level, grip bar slightly wider than shoulder width with full grip (thumbs around bar) 2. Position barbell on anterior deltoids/upper chest with elbows slightly forward of bar, wrists neutral (straight line from elbow through knuckles) 3. Unrack bar and step back, establish stable stance with slight knee flexion, engage core by bracing as if preparing for punch to stomach 4. Take deep breath and hold (Valsalva maneuver), press bar vertically upward, moving head back slightly to allow bar path past face 5. Continue pressing until arms reach full extension with bar directly over shoulders and mid-foot, elbows fully locked but not hyperextended 6. Lower bar under control along same vertical path to starting position at upper chest/clavicle level, exhale during descent 7. Reset breathing and position between repetitions, complete 5-8 repetitions with strict form before fatigue compromises technique |  | Kruszczyński, K., Stastny, P., & Golas, A. (2022). The Effect of the Weight and Type of Equipment on Shoulder and Back Muscle Activity in Surface Electromyography during the Overhead Press. Sensors, 22(24), 9762. https://doi.org/10.3390/s22249762; Schwanbeck, S., Chilibeck, P. D., & Binsted, G. (2009). A comparison of free weight squat to Smith machine squat using electromyography. Journal of Strength and Conditioning Research, 23(9), 2588-2591. https://doi.org/10.1519/JSC.0b013e3181b1b181; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Landin, D., Thompson, M., & Jackson, M. (2022). Front vs Back and Barbell vs Machine Overhead Press: An Electromyographic Analysis and Implications for Resistance Training. Frontiers in Physiology, 13, 825880. https://doi.org/10.3389/fphys.2022.825880 | [TBD] | [TBD] | [TBD] | 
Dumbbell Alternating Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper fibers), serratus anterior, rotator cuff muscles, core muscles (rectus abdominis, external obliques, internal obliques, erector spinae, transversus abdominis) | Compound | Dumbbells, bench with back support (optional) | Intermediate | Upper | Push | Free Weight | 1. Sit on bench with back support set to 75-80°, feet flat on floor shoulder-width apart, hold dumbbells at shoulder height with neutral grip 2. Position both dumbbells at shoulder level, palms facing forward or neutral, elbows bent approximately 90° and positioned slightly forward of torso 3. Engage core by drawing navel toward spine, maintain neutral spine with natural lumbar curve, shoulders retracted and depressed 4. Press right dumbbell overhead in controlled motion until arm reaches full extension with dumbbell directly over shoulder, hold left dumbbell stationary at shoulder 5. Lower right dumbbell back to starting position with control, maintaining left dumbbell in static hold at shoulder height throughout 6. Immediately press left dumbbell overhead while holding right dumbbell stationary at shoulder, creating alternating rhythm between arms 7. Continue alternating arms for desired repetitions (typically 8-12 per arm), maintaining strict form and controlled tempo throughout set |  | McCurdy, K., O'Kelley, E., Kutz, M., Langford, G., Ernest, J., & Torres, M. (2011). Muscle activity of the core during bilateral, unilateral, seated and standing resistance exercise. European Journal of Applied Physiology, 110(2), 359-369. https://doi.org/10.1007/s00421-011-2141-7; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Luczak, M., Tyka, A., Tyka, A. K., Szygula, Z., Pałka, T., Strojek, K., & Cison, T. (2015). Shoulder Muscle Activation of Novice and Resistance Trained Women during Variations of Dumbbell Press Exercises. Journal of Sports Medicine, 2013, 612650. https://doi.org/10.1155/2013/612650; Jones, M. T., Jagim, A. R., Haff, G. G., Carr, P. J., Martin, J., & Oliver, J. M. (2016). Greater strength drives difference in power between sexes in the conventional deadlift exercise. Sports, 4(3), 43. | [TBD] | [TBD] | [TBD] | 
Dumbbell Front Raise | Deltoideus (anterior head - clavicular portion) | Deltoideus (lateral head), pectoralis major (clavicular head), serratus anterior, trapezius (upper fibers), biceps brachii (short head), coracobrachialis | Isolation | Dumbbells (or single barbell, cable, plate) | Beginner to Intermediate | Upper | Isolation | Free Weight | 1. Stand with feet shoulder-width apart, knees slightly flexed, hold dumbbells in front of thighs with arms fully extended and slight elbow bend (10-15°) 2. Position dumbbells with pronated grip (palms facing down/toward thighs), wrists neutral, dumbbells approximately 2-3 inches apart or touching 3. Engage core muscles, maintain neutral spine with shoulders retracted and depressed (down and back), chest up position 4. Raise dumbbells forward and upward along arc in sagittal plane, keeping arms parallel to each other, maintain slight elbow bend throughout 5. Continue raising until dumbbells reach eye level or shoulder height (90° shoulder flexion), pause briefly at top of movement (1 second) 6. Lower dumbbells slowly and under control along same arc path back to starting position at thighs, resisting gravity throughout eccentric phase 7. Avoid swinging or using momentum, complete 10-15 repetitions with strict form, using 2-3 second eccentric (lowering) phase for maximum muscle tension |  | Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Sweeney, S. (2018). Electromyographic analysis of the deltoid muscle during various shoulder exercises. University of Wisconsin-La Crosse Graduate Thesis. https://minds.wisconsin.edu/handle/1793/70129; Schoenfeld, B. J., Kolber, M. J., & Haimes, J. E. (2011). The upright row: Implications for preventing subacromial impingement. Strength & Conditioning Journal, 33(5), 25-28. https://doi.org/10.1519/SSC.0b013e31822ec3e3; ACE (American Council on Exercise). (2014). ACE Shoulder Study: Dynamite Delts - ACE Research Identifies Top Shoulder Exercises. ACE ProSource. https://www.acefitness.org/prosource | [TBD] | [TBD] | [TBD] | 
Dumbbell Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper and middle fibers), serratus anterior, rotator cuff muscles (supraspinatus, infraspinatus, subscapularis, teres minor), core stabilizers (standing variation) | Compound | Dumbbells, adjustable bench (for seated variation) | Beginner to Advanced | Upper | Push | Free Weight | 1. Sit on adjustable bench with back support at 75-80° angle, feet flat on floor shoulder-width apart, hold dumbbells at shoulder height with palms facing forward 2. Position dumbbells at shoulder level with elbows bent 90°, elbows positioned slightly forward of frontal plane (scapular plane ~30-45°) 3. Engage core by drawing navel toward spine, maintain neutral spine with shoulder blades retracted and depressed, chest lifted 4. Press both dumbbells upward simultaneously in controlled motion, following slight arc inward so dumbbells come closer together at top 5. Continue pressing until arms reach full extension with dumbbells directly over shoulders (not touching), elbows fully extended but not locked 6. Pause briefly at top position (1 second), squeeze deltoids consciously at peak contraction 7. Lower dumbbells under control along same arc path back to starting position at shoulder height, complete 8-12 repetitions with 2-second lowering phase |  | Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Luczak, M., Tyka, A., Tyka, A. K., Szygula, Z., Pałka, T., Strojek, K., & Cison, T. (2015). Shoulder Muscle Activation of Novice and Resistance Trained Women during Variations of Dumbbell Press Exercises. Journal of Sports Medicine, 2013, 612650. https://doi.org/10.1155/2013/612650; Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Kruszczyński, K., Stastny, P., & Golas, A. (2022). The Effect of the Weight and Type of Equipment on Shoulder and Back Muscle Activity in Surface Electromyography during the Overhead Press. Sensors, 22(24), 9762. https://doi.org/10.3390/s22249762 | [TBD] | [TBD] | [TBD] | 
Dumbbell Twisting Shoulder Press | Deltoideus (anterior, lateral, and posterior heads) | Triceps brachii (all heads), trapezius (upper fibers), serratus anterior, rotator cuff muscles (infraspinatus, teres minor - external rotation), subscapularis (internal rotation), core stabilizers | Compound | Dumbbells, bench with back support (optional) | Intermediate | Upper | Push | Free Weight | 1. Sit on bench with back support set at 75-80° angle, feet flat on floor, hold dumbbells at shoulder height with neutral grip (palms facing each other) 2. Position dumbbells at shoulder level with elbows bent 90°, elbows pointing forward and slightly outward, maintaining neutral wrist position 3. Engage core muscles, retract and depress shoulder blades, maintain neutral spine with natural lumbar curve 4. Simultaneously press dumbbells upward while rotating wrists outward (external rotation), ending with palms facing forward at top position 5. Continue pressing until arms reach full extension with dumbbells positioned directly over shoulders, complete the 90° rotation by lockout 6. Reverse movement by rotating palms back to neutral (facing each other) while lowering dumbbells under control to starting position 7. Complete 8-12 repetitions with smooth, coordinated rotation throughout entire range of motion, maintaining 2-second eccentric phase |  | Reinold, M. M., Wilk, K. E., Fleisig, G. S., Zheng, N., Barrentine, S. W., Chmielewski, T., ... & Andrews, J. R. (2004). Electromyographic Analysis of the Rotator Cuff and Deltoid Musculature During Common Shoulder External Rotation Exercises. Journal of Orthopaedic & Sports Physical Therapy, 34(7), 385-394. https://doi.org/10.2519/jospt.2004.34.7.385; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Luczak, M., Tyka, A., Tyka, A. K., Szygula, Z., Pałka, T., Strojek, K., & Cison, T. (2015). Shoulder Muscle Activation of Novice and Resistance Trained Women during Variations of Dumbbell Press Exercises. Journal of Sports Medicine, 2013, 612650. https://doi.org/10.1155/2013/612650; Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., et al. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033 | [TBD] | [TBD] | [TBD] | 
Machine Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper fibers), serratus anterior | Compound | Shoulder press machine (plate-loaded or selectorized) | Beginner to Intermediate | Upper | Push | Machine | 1. Adjust seat height so handles align with shoulder level when seated, ensuring shoulders are neither elevated nor depressed at starting position 2. Sit with back firmly against pad, feet flat on floor shoulder-width apart, grasp handles with pronated grip (palms forward) slightly wider than shoulder width 3. Position shoulders in neutral alignment, shoulder blades retracted and depressed against back pad, maintain natural spinal curves 4. Engage core by drawing navel toward spine, take deep breath and press handles upward in controlled motion following machine's predetermined path 5. Press until arms reach full extension without locking elbows, handles reach highest position on machine's arc (typically just short of complete lockout) 6. Pause briefly at top position (1 second), maintaining tension throughout shoulder complex 7. Lower handles under control to starting position at shoulder level, complete 8-12 repetitions with emphasis on controlled eccentric (2-3 second lowering phase) |  | Landin, D., Thompson, M., & Jackson, M. (2022). Front vs Back and Barbell vs Machine Overhead Press: An Electromyographic Analysis and Implications for Resistance Training. Frontiers in Physiology, 13, 825880. https://doi.org/10.3389/fphys.2022.825880; Schwanbeck, S., Chilibeck, P. D., & Binsted, G. (2009). A comparison of free weight squat to Smith machine squat using electromyography. Journal of Strength and Conditioning Research, 23(9), 2588-2591. https://doi.org/10.1519/JSC.0b013e3181b1b181; Schick, E. E., Coburn, J. W., Brown, L. E., Judelson, D. A., Khamoui, A. V., Tran, T. T., & Uribe, B. P. (2010). A comparison of muscle activation between a Smith machine and free weight bench press. Journal of Strength and Conditioning Research, 24(3), 779-784. https://doi.org/10.1519/JSC.0b013e3181cc2237; Kruszczyński, K., Stastny, P., & Golas, A. (2022). The Effect of the Weight and Type of Equipment on Shoulder and Back Muscle Activity in Surface Electromyography during the Overhead Press. Sensors, 22(24), 9762. https://doi.org/10.3390/s22249762 | [TBD] | [TBD] | [TBD] | 
Seated Dumbbell Rear Delt Elbow Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major, latissimus dorsi (upper fibers) | Isolation (posterior deltoid focus) / Compound (involves scapular retractors) | Dumbbells, flat bench | Intermediate | Upper | Isolation | Free Weight | 1. Sit at end of flat bench with feet flat on floor shoulder-width apart, hinge forward at hips until torso is nearly parallel to floor (70-80° forward lean) 2. Hold dumbbells with neutral grip (palms facing each other) beneath chest, arms hanging straight down with slight elbow bend (10-15°) 3. Engage core muscles to support neutral spine, keep chest lifted and back flat, avoid rounding upper back or hunching shoulders 4. Bend elbows to approximately 90° and raise them out to sides and slightly back (transverse extension), leading movement with elbows rather than hands 5. Continue raising elbows until upper arms are parallel to floor or slightly above, upper arms should align with shoulders and point slightly behind body 6. Squeeze shoulder blades together (scapular retraction) at top of movement, focusing on posterior deltoid contraction for 1-2 seconds 7. Lower dumbbells under control back to starting position, maintain torso position throughout set, complete 12-15 repetitions with controlled tempo |  | ACE (American Council on Exercise). (2014). ACE Shoulder Study: Dynamite Delts - ACE Research Identifies Top Shoulder Exercises. ACE ProSource. https://www.acefitness.org/prosource; Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Sweeney, S. (2018). Electromyographic analysis of the deltoid muscle during various shoulder exercises. University of Wisconsin-La Crosse Graduate Thesis. https://minds.wisconsin.edu/handle/1793/70129; Kim, S. H., Kwon, O. Y., Park, K. N., Jeon, I. C., & Weon, J. H. (2015). Effect of Scapular Retraction on Lower Trapezius, Infraspinatus, and Deltoid Muscle Electromyographic Activity During the Side-Lying Abduction Exercise. Journal of Athletic Training, 50(6), 597-602. https://doi.org/10.4085/1062-6050-50.2.10 | [TBD] | [TBD] | [TBD] | 
Single-Arm Dumbbell Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper fibers), serratus anterior, rotator cuff muscles, core stabilizers (rectus abdominis, external obliques, internal obliques, transversus abdominis, erector spinae, quadratus lumborum) | Compound | Dumbbell, bench with back support (optional) | Intermediate to Advanced | Upper | Push | Free Weight | 1. Stand with feet shoulder-width apart or sit on bench with back support, hold single dumbbell in right hand at shoulder height, left arm at side or on hip for balance 2. Position dumbbell at shoulder level with palm facing forward or neutral, elbow bent 90° and positioned slightly forward of frontal plane 3. Engage core intensely by bracing entire midsection, establish stable base through feet, maintain neutral spine with shoulders level (resist side-bending) 4. Press dumbbell upward in controlled motion until arm reaches full extension, dumbbell positioned directly over shoulder 5. Maintain level shoulders and resist torso rotation throughout press, keep hips and shoulders squared forward despite asymmetric loading 6. Lower dumbbell under control back to starting position at shoulder height, maintaining core tension and postural stability throughout 7. Complete 8-10 repetitions on right arm, switch to left arm, repeat for equal volume - monitor for strength discrepancies between sides |  | McCurdy, K., O'Kelley, E., Kutz, M., Langford, G., Ernest, J., & Torres, M. (2011). Muscle activity of the core during bilateral, unilateral, seated and standing resistance exercise. European Journal of Applied Physiology, 110(2), 359-369. https://doi.org/10.1007/s00421-011-2141-7; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873; Luczak, M., Tyka, A., Tyka, A. K., Szygula, Z., Pałka, T., Strojek, K., & Cison, T. (2015). Shoulder Muscle Activation of Novice and Resistance Trained Women during Variations of Dumbbell Press Exercises. Journal of Sports Medicine, 2013, 612650. https://doi.org/10.1155/2013/612650; Lehman, G. J., Gilas, D., & Patel, U. (2008). An unstable support surface does not increase scapulothoracic stabilizing muscle activity during push up and push up plus exercises. Manual Therapy, 13(5), 421-426. | [TBD] | [TBD] | [TBD] | 
Smith Machine Shoulder Press | Deltoideus (anterior and lateral heads) | Deltoideus (posterior head), triceps brachii (all heads), trapezius (upper fibers), serratus anterior | Compound | Smith machine | Beginner to Intermediate | Upper | Push | Machine | 1. Adjust bar height so it begins at upper chest/clavicle level when seated or standing, position bench inside Smith machine if using seated variation 2. Sit or stand with bar positioned at front of shoulders, grip bar slightly wider than shoulder width with pronated grip (palms forward) 3. Position hands symmetrically on bar, wrists neutral (stacked under elbows), elbows pointing forward and slightly downward at start position 4. Engage core by bracing midsection, maintain neutral spine with shoulder blades retracted, unrack bar by rotating hooks off catches 5. Press bar straight upward along fixed vertical path until arms reach full extension, elbows locked but not hyperextended 6. Pause briefly at top position (1 second), maintaining full-body tension and shoulder stability 7. Lower bar under control along same vertical path back to starting position at upper chest, complete 8-12 repetitions before re-racking on catches |  | Schwanbeck, S., Chilibeck, P. D., & Binsted, G. (2009). A comparison of free weight squat to Smith machine squat using electromyography. Journal of Strength and Conditioning Research, 23(9), 2588-2591. https://doi.org/10.1519/JSC.0b013e3181b1b181; Schick, E. E., Coburn, J. W., Brown, L. E., Judelson, D. A., Khamoui, A. V., Tran, T. T., & Uribe, B. P. (2010). A comparison of muscle activation between a Smith machine and free weight bench press. Journal of Strength and Conditioning Research, 24(3), 779-784. https://doi.org/10.1519/JSC.0b013e3181cc2237; Cotterman, M. L., Darby, L. A., & Skelly, W. A. (2005). Comparison of muscle force production using the Smith machine and free weights for bench press and squat exercises. Journal of Strength and Conditioning Research, 19(1), 169-176.; Saeterbakken, A. H., & Fimland, M. S. (2013). Effects of body position and loading modality on muscle activity and strength in shoulder presses. Journal of Strength and Conditioning Research, 27(7), 1824-1831. https://doi.org/10.1519/JSC.0b013e318276b873 | [TBD] | [TBD] | [TBD] | 
Barbell Front Raise | Deltoideus (anterior head - clavicular portion) | Deltoideus (lateral head), pectoralis major (clavicular head), serratus anterior, trapezius (upper fibers), core stabilizers (rectus abdominis, external obliques - standing variation) | Isolation | Barbell (straight or EZ-curl bar), weight plates | Intermediate | Upper | Isolation | Free Weight | 1. Stand with feet shoulder-width apart, knees slightly flexed, hold barbell with pronated grip (palms facing down) at hip level, hands shoulder-width apart 2. Position barbell resting against front of thighs, arms fully extended with slight elbow bend (10-15°), wrists neutral 3. Engage core muscles, establish neutral spine with shoulders retracted and depressed, chest up position 4. Raise barbell forward and upward along arc in sagittal plane, keeping arms parallel and maintaining slight elbow bend throughout 5. Continue raising until barbell reaches eye level or shoulder height (90° shoulder flexion), barbell should be 8-12 inches in front of face at top 6. Pause briefly at top position (1 second), squeeze anterior deltoids consciously 7. Lower barbell slowly and under control along same arc path back to starting position at thighs, avoid dropping weight or using momentum for 10-12 repetitions |  | Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Sweeney, S. (2018). Electromyographic analysis of the deltoid muscle during various shoulder exercises. University of Wisconsin-La Crosse Graduate Thesis. https://minds.wisconsin.edu/handle/1793/70129; Schoenfeld, B. J., Kolber, M. J., & Haimes, J. E. (2011). The upright row: Implications for preventing subacromial impingement. Strength & Conditioning Journal, 33(5), 25-28. https://doi.org/10.1519/SSC.0b013e31822ec3e3; ACE (American Council on Exercise). (2014). ACE Shoulder Study: Dynamite Delts. ACE ProSource. https://www.acefitness.org/prosource | [TBD] | [TBD] | [TBD] | 
Bent-Over Cable Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major | Isolation | Cable machine with single-handle attachments or rope | Intermediate | Upper | Isolation | Cables | 1. Set cable pulleys at shoulder height, attach single-handle or D-handle to each side, stand centered between pulleys with feet shoulder-width apart 2. Reach across body with right hand to grab left cable handle and left hand to grab right cable handle (arms crossed), step back to create tension 3. Hinge forward at hips 60-70°, knees slightly bent, maintain neutral spine with chest lifted, let arms hang crossed in front of chest with slight elbow bend 4. Pull both handles outward and backward (transverse extension) along horizontal plane, leading with elbows rather than hands 5. Continue pulling until arms are perpendicular to torso or slightly behind body, upper arms aligned with shoulders in transverse plane 6. Squeeze shoulder blades together at peak contraction, focusing on posterior deltoid engagement for 1-2 seconds 7. Return cables to starting position with controlled eccentric motion, maintaining torso position and constant tension, complete 12-15 repetitions |  | Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Reinold, M. M., Wilk, K. E., Fleisig, G. S., Zheng, N., Barrentine, S. W., Chmielewski, T., ... & Andrews, J. R. (2004). Electromyographic Analysis of the Rotator Cuff and Deltoid Musculature During Common Shoulder External Rotation Exercises. Journal of Orthopaedic & Sports Physical Therapy, 34(7), 385-394. https://doi.org/10.2519/jospt.2004.34.7.385; ACE (American Council on Exercise). (2014). ACE Shoulder Study: Dynamite Delts. ACE ProSource. https://www.acefitness.org/prosource; Sweeney, S. (2018). Electromyographic analysis of the deltoid muscle during various shoulder exercises. University of Wisconsin-La Crosse Graduate Thesis. https://minds.wisconsin.edu/handle/1793/70129 | [TBD] | [TBD] | [TBD] | 
Bent-Over Dumbbell Rear Delt Raise | Deltoideus (posterior head) | Rhomboideus major and minor, trapezius (middle fibers), infraspinatus, teres minor, teres major, latissimus dorsi (upper fibers) | Isolation | Dumbbells, bench (optional for chest-supported variation) | Beginner to Intermediate | Upper | Isolation | Free Weight | 1. Stand with feet hip-width apart, hold dumbbells with neutral grip (palms facing each other), hinge forward at hips until torso reaches 60-70° angle 2. Let arms hang straight down toward floor beneath shoulders with slight elbow bend (10-20°), maintain neutral spine with natural lumbar curve 3. Engage core muscles to support torso position, keep chest lifted and shoulder blades retracted, avoid rounding upper back 4. Raise dumbbells outward and upward in wide arc, leading movement with elbows rather than hands, maintain slight elbow bend throughout 5. Continue raising until upper arms are parallel to floor or slightly above, arms perpendicular to torso in transverse plane 6. Squeeze shoulder blades together at top of movement, pause for 1-2 seconds while consciously contracting posterior deltoids 7. Lower dumbbells slowly and under control back to starting position, maintain torso angle throughout set, complete 12-15 repetitions with 2-3 second eccentric |  | ACE (American Council on Exercise). (2014). ACE Shoulder Study: Dynamite Delts - ACE Research Identifies Top Shoulder Exercises. ACE ProSource. https://www.acefitness.org/prosource; Campos, Y. A. C., Vianna, J. M., Guimarães, M. P., Oliveira, J. L. D., Hernández-Mosqueira, C., da Silva, S. F., & Marchetti, P. H. (2020). Different Shoulder Exercises Affect the Activation of Deltoid Portions in Resistance-Trained Individuals. Journal of Human Kinetics, 75, 5-14. https://doi.org/10.2478/hukin-2020-0033; Kim, S. H., Kwon, O. Y., Park, K. N., Jeon, I. C., & Weon, J. H. (2015). Effect of Scapular Retraction on Lower Trapezius, Infraspinatus, and Deltoid Muscle Electromyographic Activity During the Side-Lying Abduction Exercise. Journal of Athletic Training, 50(6), 597-602. https://doi.org/10.4085/1062-6050-50.2.10; Sweeney, S. (2018). Electromyographic analysis of the deltoid muscle during various shoulder exercises. University of Wisconsin-La Crosse Graduate Thesis. https://minds.wisconsin.edu/handle/1793/70129 | [TBD] | [TBD] | [TBD] | 
